method,n,mean_mc,mean_v,mean_abs_error,conservative_underestimate,safety_overestimate,bias_mc_minus_v,hjb_residual_mean,boundary_value_mae,target_value_mae,avoid_value_mae
TD3 fixed tau 10M,512,0.2780609130859375,0.2152234652672092,0.0945166079088056,0.07867702786376696,0.015839580045038652,0.0628374478187283,7.611937992874303,0.15917251755169595,0.2537012792864317,0.04938957669053449
TD3 random tau 10M,512,0.1774139404296875,0.10596162952805208,0.10635014621646952,0.08890122855905247,0.017448917657417046,0.07145231090163542,2.8799108830529514,0.14221207355573928,0.23487002510434607,0.029789613371487084
PIRL 10M,512,0.1787872314453125,0.09706686009699125,0.11059417181956241,0.09615727158394183,0.014436900235620585,0.08172037134832125,1.0457397711953085,0.05336170562527019,0.10329952835672884,0.005607989389233684
PIRL mixed 15M,512,0.20413970947265625,0.0760358757693071,0.13837356169991444,0.13323869770163177,0.00513486399828263,0.12810383370334913,0.1467411964397889,0.05221202387956376,0.10082860014563266,0.00610398590834891
